zipcode,lat,lon
01255,42.10834,-73.1229
01256,42.59627,-73.01957
01257,42.09701,-73.36886
01258,42.10257,-73.46175
01259,42.07553,-73.23564
01260,42.29587,-73.34517
01262,42.29354,-73.31771
01264,42.23409,-73.19903
01266,42.30802,-73.38405
01267,42.67197,-73.23904
01270,42.51492,-73.04125
01301,42.62406,-72.60401
01330,42.51377,-72.81395
01331,42.56728,-72.18293
01337,42.69503,-72.57711
01338,42.57358,-72.82134
01339,42.60801,-72.89006
01340,42.68319,-72.71797
01341,42.50447,-72.70514
01342,42.54451,-72.60591
01343,42.65444,-72.9811
01344,42.60777,-72.42882
01346,42.68892,-72.817
01347,42.56137,-72.51694
01349,42.57271,-72.48329
01350,42.72265,-72.98244
01351,42.54282,-72.51905
01354,42.63366,-72.51108
01355,42.45289,-72.33044
01360,42.67575,-72.44594
01364,42.61292,-72.29241
01366,42.48054,-72.18777
01367,42.6958,-72.91185
01368,42.68082,-72.18602
01370,42.59655,-72.72864
01373,42.47292,-72.61562
01375,42.46511,-72.55461
01376,42.59533,-72.55579
01378,42.6748,-72.34581
01379,42.55285,-72.40252
01420,42.58578,-71.81662
01430,42.66019,-71.92369
01431,42.67652,-71.82323
01432,42.56467,-71.57139
01434,42.53854,-71.6115
01436,42.60547,-72.08848
01438,42.5618,-72.0317
01440,42.58738,-71.98648
01450,42.61368,-71.56142
01451,42.50124,-71.57378
01452,42.48379,-72.00514
01453,42.51863,-71.76138
01460,42.53501,-71.4891
01462,42.58968,-71.7199
01463,42.67127,-71.60426
01464,42.57331,-71.64837
01467,42.48772,-71.61729
01468,42.55208,-72.06894
01469,42.66673,-71.69396
01473,42.55122,-71.90266
01474,42.66784,-71.75221
01475,42.66667,-72.04899
01501,42.1972,-71.84534
01503,42.38378,-71.63551
01504,42.0399,-71.53122
01505,42.35633,-71.72123
01506,42.19365,-72.10441
01507,42.13509,-71.96803
01510,42.4119,-71.68882
01515,42.20328,-72.0467
01516,42.05284,-71.75092
01518,42.12349,-72.11861
01519,42.2011,-71.68019
01520,42.33536,-71.85284
01521,42.06012,-72.16592
01522,42.38137,-71.86913
01523,42.47971,-71.67844
01524,42.24923,-71.91983
01525,42.10683,-71.63236
01527,42.19218,-71.77416
01529,42.03905,-71.57766
01531,42.31929,-72.12795
01532,42.32315,-71.64621
01534,42.14043,-71.643
01535,42.2695,-72.07795
01536,42.23236,-71.69101
01537,42.16157,-71.89148
01540,42.11634,-71.85733
01541,42.45649,-71.88128
01542,42.20187,-71.91079
01543,42.38482,-71.96727
01545,42.28423,-71.71554
01550,42.06039,-72.03377
01560,42.17496,-71.67756
01561,42.44395,-71.6855
01562,42.24715,-71.99189
01564,42.44124,-71.77297
01566,42.1024,-72.08116
01568,42.17702,-71.60467
01569,42.05873,-71.63708
01570,42.05206,-71.8485
01571,42.05501,-71.93519
01581,42.26816,-71.61402
01583,42.37025,-71.78499
01585,42.24152,-72.16193
01588,42.11992,-71.66955
01590,42.13395,-71.75087
01602,42.27223,-71.84951
01603,42.24406,-71.84445
01604,42.25146,-71.76773
01605,42.28947,-71.78751
01606,42.31444,-71.79556
01607,42.22748,-71.78877
01608,42.26185,-71.80162
01609,42.28645,-71.82895
01610,42.24674,-71.80966
01611,42.23829,-71.87726
01612,42.31035,-71.93077
01701,42.32174,-71.43817
01702,42.28217,-71.43387
01718,42.51973,-71.42939
01719,42.48836,-71.51782
01720,42.48417,-71.43805
01721,42.25729,-71.46866
01730,42.49697,-71.27834
01731,42.45675,-71.27952
01740,42.43616,-71.60728
01741,42.53001,-71.35128
01742,42.46225,-71.36424
01745,42.29204,-71.5013
01746,42.19775,-71.44499
01747,42.1248,-71.53508
01748,42.2255,-71.53779
01749,42.38868,-71.54647
01752,42.3494,-71.54681
01754,42.4264,-71.45612
01756,42.09302,-71.55148
01757,42.15678,-71.51911
01760,42.28434,-71.34983
01770,42.23414,-71.37532
01772,42.30144,-71.53042
01773,42.4252,-71.31039
01775,42.42983,-71.51148
01776,42.38473,-71.4234
01778,42.35829,-71.35918
01801,42.487,-71.15426
01803,42.50216,-71.20257
01810,42.64655,-71.16505
01821,42.55017,-71.25217
01824,42.59114,-71.35564
01826,42.68314,-71.30061
01827,42.67642,-71.5005
01830,42.79591,-71.05314
01832,42.79103,-71.13131
01833,42.72401,-70.9821
01834,42.75199,-71.01486
01835,42.75293,-71.08594
01840,42.70688,-71.1601
01841,42.71083,-71.1651
01843,42.68984,-71.16097
01844,42.73401,-71.18889
01845,42.67135,-71.08653
01850,42.65569,-71.30292
01851,42.62813,-71.33566
01852,42.63232,-71.29538
01854,42.64907,-71.34805
01860,42.83857,-71.01192
01862,42.57487,-71.29344
01863,42.63242,-71.39059
01864,42.58156,-71.08755
01867,42.53507,-71.10555
01876,42.61224,-71.22746
01879,42.66638,-71.42869
01880,42.50222,-71.06702
01886,42.58642,-71.44008
01887,42.56099,-71.16545
01890,42.4518,-71.1463
01901,42.46102,-70.94656
01902,42.47085,-70.93991
01904,42.49155,-70.97275
01905,42.46614,-70.97589
01906,42.46799,-71.01441
01907,42.47583,-70.90673
01908,42.42978,-70.92729
01913,42.85296,-70.94458
01915,42.5681,-70.86273
01921,42.68152,-71.01897
01922,42.75872,-70.91448
01923,42.57399,-70.94926
01929,42.63474,-70.77689
01930,42.62589,-70.68968
01937,42.58573,-70.98403
01938,42.68365,-70.84325
01940,42.53456,-71.03757
01944,42.58154,-70.76825
01945,42.49911,-70.86368
01949,42.60432,-71.01642
01950,42.81237,-70.88787
01951,42.77803,-70.84977
01952,42.84654,-70.86162
01960,42.53372,-70.97223
01966,42.65435,-70.6222
01969,42.72121,-70.89293
01970,42.5126,-70.90376
01982,42.62676,-70.85795
01983,42.63728,-70.94257
01984,42.60083,-70.88251
01985,42.79391,-70.96907
02019,42.07773,-71.47408
02021,42.17514,-71.12656
02025,42.23604,-70.81903
02026,42.24671,-71.17777
02030,42.23663,-71.28418
02032,42.15491,-71.21548
02035,42.06266,-71.24613
02038,42.08623,-71.41127
02043,42.21678,-70.88499
